survived,pclass,fare,sex,age
0,3,29.125,female,39
0,3,39.6875,female,22
0,3,7.125,male,35
1,3,7.7208,female,NA
0,3,14.5,male,NA
0,3,14.5,female,NA
0,3,14.5,male,50
0,3,14.5,female,47
0,3,8.05,male,NA
0,3,7.775,male,NA
0,3,20.2125,female,2
0,3,20.2125,male,18
0,3,20.2125,female,41
1,3,8.05,female,NA
0,3,8.05,male,50
0,3,8.05,male,16
1,3,7.75,male,NA
0,3,24.15,male,NA
0,3,7.2292,male,NA
0,3,7.225,male,25
0,3,7.225,male,NA
0,3,7.7292,male,NA
0,3,7.575,male,NA
0,3,7.25,male,38.5
0,3,69.55,male,NA
0,3,69.55,male,14.5
0,3,69.55,female,NA
0,3,69.55,female,NA
0,3,69.55,female,NA
0,3,69.55,female,NA
0,3,69.55,male,NA
0,3,69.55,male,NA
0,3,69.55,male,NA
0,3,69.55,male,NA
0,3,69.55,female,NA
0,3,9.325,male,24
1,3,7.65,female,21
0,3,7.925,male,39
0,3,21.6792,male,NA
0,3,21.6792,male,NA
0,3,21.6792,male,NA
1,3,16.7,female,1
1,3,16.7,female,24
1,3,16.7,female,4
1,3,9.5,male,25
0,3,8.05,male,20
0,3,8.05,male,24.5
0,3,7.725,male,NA
0,3,7.8958,male,NA
0,3,7.75,male,NA
1,3,9.5,male,29
0,3,15.1,male,NA
1,3,7.7792,female,NA
0,3,8.05,male,NA
0,3,8.05,male,NA
0,3,7.2292,male,22
0,3,8.05,male,NA
0,3,7.8958,male,40
0,3,7.925,male,21
1,3,7.4958,female,18
0,3,27.9,male,4
0,3,27.9,male,10
0,3,27.9,female,9
0,3,27.9,female,2
0,3,27.9,male,40
0,3,27.9,female,45
0,3,7.8958,male,NA
0,3,8.05,male,NA
0,3,8.6625,male,NA
0,3,7.75,male,NA
1,3,7.7333,female,NA
0,3,7.65,male,19
0,3,8.05,male,30
0,3,8.05,male,NA
0,3,8.05,male,32
0,3,7.8958,male,NA
0,3,8.6625,male,33
1,3,7.55,female,23
0,3,8.05,male,21
0,3,NA,male,60.5
0,3,7.8958,male,19
0,3,9.8375,female,22
1,3,7.925,male,31
0,3,8.6625,male,27
0,3,10.4625,female,2
0,3,10.4625,female,29
1,3,8.05,male,16
1,3,7.925,male,44
0,3,7.05,male,25
0,3,7.775,male,74
1,3,9.225,male,14
0,3,7.7958,male,24
1,3,7.7958,male,25
0,3,8.05,male,34
1,3,8.5167,male,0.42
0,3,6.4375,male,NA
0,3,6.4375,male,NA
0,3,7.225,male,NA
1,3,8.5167,female,16
0,3,8.05,male,NA
0,3,16.1,male,NA
1,3,16.1,female,NA
0,3,7.925,male,32
0,3,7.75,male,NA
0,3,7.8958,male,NA
0,3,8.05,male,30.5
0,3,8.05,male,44
0,3,7.2292,male,NA
1,3,0,male,25
0,3,7.2292,male,NA
1,3,15.2458,male,7
1,3,15.2458,female,9
1,3,15.2458,female,29
0,3,7.8958,male,36
1,3,9.8417,female,18
1,3,9.5875,female,63
0,3,14.5,male,NA
0,3,14.5,male,11.5
0,3,14.5,male,40.5
0,3,24.15,female,10
0,3,24.15,male,36
0,3,24.15,female,30
0,3,9.5,male,NA
0,3,9.5,male,33
0,3,9.5,male,28
0,3,9.5,male,28
0,3,9,male,47
0,3,18,female,18
0,3,18,male,31
0,3,18,male,16
0,3,18,female,31
1,3,7.225,male,22
0,3,7.8542,male,20
0,3,7.8542,female,14
0,3,7.8958,male,22
0,3,9,male,22
0,3,8.05,male,NA
0,3,7.55,male,NA
0,3,8.05,male,NA
0,3,9.5,male,32.5
1,3,7.2292,female,38
0,3,7.75,male,51
0,3,6.4958,male,18
0,3,6.4958,male,21
1,3,7,female,47
0,3,8.7125,male,NA
0,3,7.55,male,NA
0,3,8.05,male,NA
0,3,16.1,male,28.5
0,3,7.25,male,21
0,3,8.6625,male,27
0,3,7.25,male,NA
0,3,9.5,male,36
0,3,14.4542,male,27
1,3,14.4542,female,15
0,3,7.225,male,45.5
0,3,7.225,male,NA
0,3,14.4583,male,NA
0,3,14.4542,female,14.5
0,3,14.4542,female,NA
0,3,7.225,male,26.5
0,3,7.225,male,27
0,3,7.875,male,29
